pathogenic_interface	pathogenic_noninterface	benign_interface	benign_noninterface	pathogenic_interface_percent	benign_interface_percent	odds_ratio	ci_lower	ci_upper	p_value	contributing_proteins	cmh_odds_ratio	cmh_ci_lower	cmh_ci_upper	cmh_p_value	analysis_level	definition	n_observations
17809	19723	9468	15005	47.4502	38.6875	1.431015407286139	1.3849152545631267	1.4786501117256428	7.48159588037882e-103	1433	1.33409538887866	1.2581756972145508	1.4145961574107564	0.0	variant	pinder_10A	62005
12833	24699	6461	18012	34.1922	26.4005	1.4484750583685992	1.3979069549926786	1.5008724201725612	2.7973626158176916e-94	1411	1.2672151225720092	1.1913673416549013	1.3478917129326078	6.994405055138486e-15	variant	heavy_5A	62005
18122	19410	9659	14814	48.2841	39.468	1.4319266268792086	1.385909564657205	1.479471617091281	1.199842094206261e-103	1439	1.329418303681325	1.2540015159843476	1.4093707253420829	0.0	variant	union_10A_or_5A	62005
12352	14151	8953	14511	46.606	38.1563	1.414747416850833	1.365097158880891	1.466203515599539	3.6966873329142877e-81	1428	1.3085885860028525	1.2297041680407539	1.3925333685298154	0.0	unique_residue	pinder_10A	49967
8768	17735	6086	17378	33.083	25.9376	1.4116830272531087	1.35793089693358	1.4675628737328723	2.0431052560417612e-68	1405	1.2317656917544308	1.1533308222994838	1.3155347017937322	1.8626078457373296e-10	unique_residue	heavy_5A	49967
12563	13940	9135	14329	47.4022	38.932	1.4136370432669845	1.3641461909260664	1.46492341025415	3.530792475997052e-81	1434	1.3017207529777453	1.223535874400131	1.3849017051205856	0.0	unique_residue	union_10A_or_5A	49967
